Posição		Solução		Movimentos		Comparações		Tempo(ms)
-------------------------------------------------------------------------------
(0,0)		Não  		2761312  		22090289   		200.00317
(1,0)		Não  		4551728  		36413606   		200.03763
(2,0)		Não  		4658009  		37263880   		200.00226
(3,0)		Não  		4687879  		37502833   		200.00342
(4,0)		Não  		4597240  		36777722   		200.00195
(5,0)		Não  		4600813  		36806297   		200.00122
(6,0)		Não  		4696534  		37572032   		200.00334
(7,0)		Sim  		3242064  		25936253   		142.60443
(0,1)		Não  		4540293  		36322136   		200.00330
(1,1)		Não  		4546332  		36370455   		200.00367
(2,1)		Não  		4497891  		35982924   		200.00225
(3,1)		Não  		4604379  		36834818   		200.00268
(4,1)		Não  		4492499  		35939784   		200.00351
(5,1)		Não  		4392368  		35138754   		200.00329
(6,1)		Não  		4398055  		35184261   		200.00188
(7,1)		Não  		4417917  		35343135   		200.00166
(0,2)		Não  		4285381  		34282833   		200.00652
(1,2)		Não  		4172631  		33380833   		200.00458
(2,2)		Não  		4568398  		36547005   		200.00298
(3,2)		Sim  		2252172  		18017105   		97.98065
(4,2)		Não  		4540220  		36321567   		200.00293
(5,2)		Não  		4584997  		36679767   		200.00166
(6,2)		Não  		4306035  		34448068   		200.00384
(7,2)		Não  		4527284  		36218067   		200.00280
(0,3)		Não  		4496681  		35973260   		200.00254
(1,3)		Não  		4552857  		36422657   		200.00122
(2,3)		Não  		4477387  		35818899   		200.00156
(3,3)		Não  		4500870  		36006751   		200.00141
(4,3)		Não  		4546294  		36370159   		200.00291
(5,3)		Não  		4397446  		35179367   		200.00323
(6,3)		Não  		4431111  		35448685   		200.00282
(7,3)		Não  		4461528  		35692015   		200.00173
(0,4)		Não  		4613479  		36907616   		200.00193
(1,4)		Não  		4581869  		36654750   		200.00253
(2,4)		Não  		4616217  		36929552   		200.00185
(3,4)		Não  		4568933  		36551282   		200.00185
(4,4)		Não  		4584609  		36676669   		200.00320
(5,4)		Não  		4514392  		36114943   		200.00112
(6,4)		Não  		4576638  		36612909   		200.00175
(7,4)		Não  		4538897  		36310990   		200.00084
(0,5)		Não  		4593292  		36746151   		200.00161
(1,5)		Não  		4607799  		36862207   		200.00161
(2,5)		Não  		4644357  		37154668   		200.00131
(3,5)		Não  		4533106  		36264656   		200.00386
(4,5)		Não  		4590194  		36721350   		200.00359
(5,5)		Não  		4617948  		36943379   		200.00224
(6,5)		Não  		4580227  		36641619   		200.00346
(7,5)		Não  		4596426  		36771211   		200.00263
(0,6)		Não  		4666300  		37330211   		200.00218
(1,6)		Não  		4539872  		36318785   		200.00285
(2,6)		Não  		4498106  		35984663   		200.00334
(3,6)		Não  		4451795  		35614158   		200.00360
(4,6)		Não  		4553126  		36424803   		200.00158
(5,6)		Não  		4472463  		35779513   		200.00242
(6,6)		Não  		4471904  		35775038   		200.00166
(7,6)		Não  		4472116  		35776728   		200.00134
(0,7)		Não  		4588060  		36704275   		200.00292
(1,7)		Não  		4606750  		36853817   		200.00172
(2,7)		Não  		4481184  		35849271   		200.00289
(3,7)		Não  		4559888  		36478931   		200.00563
(4,7)		Não  		4638791  		37110150   		200.00173
(5,7)		Não  		4559821  		36478370   		200.00127
(6,7)		Não  		4592601  		36740623   		200.00151
(7,7)		Não  		4497523  		35979975   		200.00275
