Posição		Solução		Movimentos		Comparações		Tempo(ms)
-------------------------------------------------------------------------------
(0,0)		Sim  		63       		2984       		0.21515
(1,0)		Sim  		63       		3144       		0.22933
(2,0)		Sim  		63       		3032       		0.38384
(3,0)		Sim  		63       		3112       		0.25551
(4,0)		Sim  		63       		3000       		0.13974
(5,0)		Sim  		63       		3032       		0.12948
(6,0)		Sim  		63       		3144       		0.14121
(7,0)		Sim  		63       		3144       		0.13412
(0,1)		Sim  		63       		3176       		0.12398
(1,1)		Sim  		63       		3144       		0.10565
(2,1)		Sim  		63       		3160       		0.06436
(3,1)		Sim  		63       		3336       		0.06547
(4,1)		Sim  		63       		3096       		0.10005
(5,1)		Sim  		63       		3272       		0.06030
(6,1)		Sim  		63       		2984       		0.06791
(7,1)		Sim  		63       		3080       		0.07013
(0,2)		Sim  		63       		3016       		0.07197
(1,2)		Sim  		63       		2968       		0.06802
(2,2)		Sim  		63       		3176       		0.05230
(3,2)		Sim  		63       		3320       		0.06278
(4,2)		Sim  		63       		3176       		0.05674
(5,2)		Sim  		63       		3048       		0.04492
(6,2)		Sim  		63       		2984       		0.04339
(7,2)		Sim  		63       		3016       		0.04177
(0,3)		Sim  		63       		3048       		0.04347
(1,3)		Sim  		63       		3032       		0.04389
(2,3)		Sim  		63       		3144       		0.04531
(3,3)		Sim  		63       		3272       		0.04823
(4,3)		Sim  		63       		3128       		0.04464
(5,3)		Sim  		63       		3032       		0.04382
(6,3)		Sim  		63       		3016       		0.04221
(7,3)		Sim  		63       		3112       		0.04547
(0,4)		Sim  		63       		3048       		0.04264
(1,4)		Sim  		63       		3112       		0.05049
(2,4)		Sim  		109      		3592       		0.05396
(3,4)		Sim  		63       		3096       		0.04392
(4,4)		Sim  		63       		3096       		0.03761
(5,4)		Sim  		63       		3080       		0.03674
(6,4)		Sim  		63       		3000       		0.03314
(7,4)		Sim  		63       		2984       		0.03217
(0,5)		Sim  		63       		3064       		0.03395
(1,5)		Sim  		63       		3192       		0.03462
(2,5)		Sim  		63       		3208       		0.03452
(3,5)		Sim  		63       		3128       		0.03551
(4,5)		Sim  		63       		2952       		0.03418
(5,5)		Sim  		63       		2936       		0.03396
(6,5)		Sim  		63       		3032       		0.03336
(7,5)		Sim  		63       		2936       		0.03237
(0,6)		Sim  		63       		3224       		0.03342
(1,6)		Sim  		63       		3032       		0.03298
(2,6)		Sim  		63       		3016       		0.03231
(3,6)		Sim  		63       		3000       		0.03289
(4,6)		Sim  		63       		3000       		0.03327
(5,6)		Sim  		63       		2952       		0.03624
(6,6)		Sim  		63       		2968       		0.03642
(7,6)		Sim  		63       		3128       		0.03210
(0,7)		Sim  		63       		3080       		0.03047
(1,7)		Sim  		63       		3096       		0.03289
(2,7)		Sim  		63       		2920       		0.04070
(3,7)		Sim  		63       		2984       		0.03466
(4,7)		Sim  		63       		3128       		0.03591
(5,7)		Sim  		63       		3000       		0.03348
(6,7)		Sim  		63       		3032       		0.03470
(7,7)		Sim  		63       		3112       		0.03550
